id,title,question_text,choices
9174427,Question 1,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the primary focus of Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Developing high-quality software systems; Creating hardware components; Managing databases; Designing user interfaces; questions_194051020325.csv
9174428,Question 2,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a key principle of Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Agility; Randomness; Chaos; Simplicity; questions_194051020325.csv
9174429,Question 3,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does the Software Development Life Cycle (SDLC) encompass?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>","Only coding; Planning, design, implementation, testing, and maintenance; Only testing; Only requirements gathering; questions_194051020325.csv"
9174430,Question 4,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of requirements elicitation in Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To gather and define stakeholder needs; To write code; To test software; To deploy applications; questions_194051020325.csv
9174431,Question 5,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which methodology emphasizes iterative development and flexibility?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Waterfall; Agile; Spiral; V-Model; questions_194051020325.csv
9174432,Question 6,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is defensive programming?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A method to anticipate potential errors; A way to write code without testing; A technique to ignore user feedback; A method to speed up coding; questions_194051020325.csv
9174433,Question 7,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of software testing?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To ensure software meets requirements and is defect-free; To increase software size; To reduce software costs; To eliminate documentation; questions_194051020325.csv
9174434,Question 8,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does Agile Development promote?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Flexibility and collaboration; Strict adherence to plans; Isolation of team members; Minimizing user feedback; questions_194051020325.csv
9174435,Question 9,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the role of quality assurance in Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To ensure software meets specified requirements; To ignore user needs; To focus solely on coding; To reduce project timelines; questions_194051020325.csv
9174436,Question 10,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is encapsulation in Object-Oriented Programming?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Hiding data and methods within a class; Sharing data across classes; Creating global variables; Using only public methods; questions_194051020325.csv
9174437,Question 11,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of version control systems?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To track changes in code; To write code faster; To eliminate bugs; To manage hardware; questions_194051020325.csv
9174438,Question 12,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does the design stage in the SDLC involve?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Translating requirements into a blueprint; Writing code; Testing software; Deploying applications; questions_194051020325.csv
9174439,Question 13,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the importance of documentation in Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To provide essential information about software; To confuse users; To reduce coding time; To eliminate testing; questions_194051020325.csv
9174440,Question 14,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the role of UML diagrams?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To visually represent software design; To write code; To test software; To manage databases; questions_194051020325.csv
9174441,Question 15,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of non-functional requirements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",They impact performance and usability; They are not important; They only relate to coding; They are only for testing; questions_194051020325.csv
9174442,Question 16,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does modularity in software design promote?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Breaking down software into manageable components; Creating monolithic applications; Ignoring user feedback; Reducing testing; questions_194051020325.csv
9174443,Question 17,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of unit testing?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To evaluate individual components of code; To test the entire application; To ignore bugs; To speed up development; questions_194051020325.csv
9174444,Question 18,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the Agile Manifesto?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A set of principles for Agile development; A coding standard; A testing framework; A project management tool; questions_194051020325.csv
